yas,cinsiyet,boy,kilo,bmi,vucut_tipi,kas_orani,yag_orani,kemik_yogunlugu,hiz,kuvvet,dayaniklilik,esneklik,koordinasyon,denge,reaksiyon_hizi,ailevi_spor_gecmisi,anne_spor_durumu,baba_spor_durumu,dominant_el,spor_yili,onceki_sporlar,en_basarili_spor,yaralanma_gecmisi,stres_toleransi,takım_oyunu_tercihi,yarışma_tutkusu,konsantrasyon,coğrafi_konum,ekonomik_durum,tesis_erisimi,tavsiye_edilen_spor,skor_futbol,skor_koşu_atletizm,skor_basketbol,skor_voleybol,skor_yüzme,skor_güreş,skor_tenis,skor_bisiklet,skor_jimnastik,skor_boks
32,Kadın,157,40.0,16.2,Mezomorf,16.7,17.1,Orta,6.2,3.3,4.9,6.0,6.4,4.8,4.2,Yok,Sedanter,Sedanter,Sağ,14,"['Futbol', 'Voleybol', 'Basketbol']",Futbol,Yok,7.4,Takım,1.8,7.6,Karadeniz,Düşük,Orta,Futbol,73.6,51.9,73.5,55.3,61.8,61.8,68.7,62.2,46.4,61.1
24,Kadın,158,40.0,15.9,Ektomorf,12.8,14.0,Düşük,6.7,2.0,7.9,7.5,4.1,7.6,4.9,Yok,Aktif,Sedanter,Sağ,12,['Yüzme'],Yüzme,Ağır,4.4,Karma,2.8,4.3,Güneydoğu Anadolu,Orta,Orta,Koşu/Atletizm,57.6,76.6,70.3,70.3,67.8,54.5,51.3,72.2,65.8,48.2
36,Erkek,190,75.5,21.0,Ektomorf,26.5,19.4,Orta,6.0,4.4,5.9,5.4,5.1,3.7,4.8,Var,Aktif,Aktif,Sağ,1,['Basketbol'],Basketbol,Yok,6.0,Takım,4.6,5.9,Marmara,Orta,Orta,Basketbol,54.5,71.3,74.7,74.7,68.5,44.4,47.8,64.4,61.1,47.5
26,Erkek,180,70.2,21.7,Mezomorf,20.1,17.5,Yüksek,5.1,5.5,5.9,6.4,6.5,3.7,6.7,Yok,Sporcu,Sporcu,Sağ,6,['Voleybol'],Voleybol,Yok,4.0,Karma,2.6,7.4,Ege,Orta,Orta,Basketbol,73.6,50.9,74.4,56.2,71.2,66.4,72.2,66.9,49.3,69.5
32,Kadın,161,51.5,19.9,Ektomorf,12.5,13.0,Yüksek,6.2,1.0,8.2,6.9,4.5,3.8,4.8,Yok,Sedanter,Aktif,Sağ,3,"['Voleybol', 'Tenis', 'Boks']",Voleybol,Yok,4.4,Bireysel,3.6,4.5,İç Anadolu,Orta,Zor,Koşu/Atletizm,50.7,75.2,63.2,63.2,65.8,45.3,49.8,62.2,56.7,45.8
22,Erkek,172,64.6,21.8,Ektomorf,26.3,10.5,Düşük,7.4,4.7,7.9,7.5,6.2,5.8,4.4,Yok,Sedanter,Aktif,Sağ,10,"['Basketbol', 'Boks', 'Voleybol', 'Bisiklet']",Basketbol,Hafif,3.1,Bireysel,6.3,5.7,Marmara,Düşük,Orta,Koşu/Atletizm,55.5,76.6,69.8,69.8,74.4,56.2,55.5,74.2,71.3,53.5
41,Erkek,184,69.9,20.6,Endomorf,28.3,17.6,Yüksek,2.3,6.7,3.3,3.4,4.7,3.1,4.6,Yok,Sedanter,Sedanter,Sağ,18,"['Tenis', 'Voleybol', 'Jimnastik', 'Futbol']",Voleybol,Hafif,7.7,Takım,5.3,5.4,Güneydoğu Anadolu,Orta,Orta,Güreş,42.4,41.6,48.4,48.4,45.5,57.3,36.4,40.2,41.6,39.8
35,Kadın,168,46.0,16.4,Ektomorf,14.0,18.5,Yüksek,5.5,2.4,6.4,5.8,4.3,4.6,5.2,Yok,Sedanter,Aktif,Sağ,22,['Bisiklet'],Bisiklet,Ağır,6.5,Karma,3.2,6.0,Doğu Anadolu,Orta,Zor,Koşu/Atletizm,53.1,72.2,69.7,69.7,63.9,44.0,46.9,63.1,58.4,44.5
34,Erkek,167,55.4,19.8,Ektomorf,18.6,6.0,Orta,5.9,2.6,7.9,5.3,7.1,4.6,4.4,Var,Sedanter,Sporcu,Sol,24,"['Voleybol', 'Basketbol', 'Tenis', 'Futbol']",Voleybol,Yok,4.6,Karma,5.8,7.7,Karadeniz,Orta,Zor,Basketbol,61.6,74.4,75.4,75.4,65.9,46.2,50.4,66.9,62.9,46.9
27,Kadın,160,41.2,16.2,Ektomorf,14.9,8.1,Düşük,6.4,3.1,7.7,6.8,5.5,5.3,6.4,Yok,Sporcu,Sedanter,Sağ,6,"['Futbol', 'Tenis', 'Voleybol', 'Jimnastik']",Jimnastik,Orta,6.0,Bireysel,3.7,6.8,Akdeniz,Düşük,Kolay,Koşu/Atletizm,52.0,75.8,65.3,65.3,68.4,50.7,54.7,69.1,64.9,52.0
27,Erkek,180,75.5,23.3,Mezomorf,29.0,10.3,Orta,5.7,8.6,5.7,5.3,6.9,3.7,5.9,Yok,Sedanter,Sporcu,Sağ,3,"['Futbol', 'Basketbol', 'Boks']",Futbol,Hafif,3.5,Karma,4.1,5.8,Akdeniz,Düşük,Zor,Basketbol,75.1,51.0,76.2,58.1,74.4,69.6,70.5,73.3,53.6,74.4
19,Erkek,170,51.3,17.8,Ektomorf,24.9,14.8,Orta,7.0,4.2,7.3,6.7,6.8,6.4,6.7,Yok,Aktif,Aktif,Sağ,1,['Yüzme'],Yüzme,Yok,3.8,Bireysel,6.8,7.4,Doğu Anadolu,Orta,Orta,Koşu/Atletizm,54.7,76.1,69.9,69.9,70.7,53.8,58.5,73.1,71.1,54.9
44,Erkek,167,71.4,25.5,Endomorf,35.0,25.6,Yüksek,3.9,7.4,4.5,3.4,4.8,3.5,3.6,Yok,Sedanter,Sedanter,Sağ,0,['Hiçbiri'],Hiçbiri,Yok,6.1,Takım,2.7,7.2,Karadeniz,Düşük,Zor,Güreş,47.6,44.4,49.4,49.4,46.8,61.5,37.6,45.3,43.8,44.4
25,Erkek,168,53.6,18.9,Ektomorf,16.2,14.5,Düşük,6.2,3.5,6.4,6.8,4.5,4.0,5.1,Yok,Aktif,Sedanter,Sağ,2,['Futbol'],Futbol,Hafif,3.6,Karma,3.0,6.3,Doğu Anadolu,Orta,Kolay,Koşu/Atletizm,54.7,72.5,71.3,71.3,67.7,46.7,50.2,64.2,61.5,47.6
12,Erkek,184,61.7,18.3,Ektomorf,22.7,14.6,Düşük,5.4,3.4,5.5,5.1,6.3,3.9,4.9,Yok,Sedanter,Sedanter,Sağ,1,['Yüzme'],Yüzme,Hafif,3.4,Bireysel,4.3,4.6,Karadeniz,Düşük,Orta,Koşu/Atletizm,47.6,70.4,67.8,67.8,64.7,41.6,48.5,61.8,61.3,44.0
32,Kadın,163,53.4,20.1,Endomorf,21.3,25.4,Düşük,3.5,4.9,4.8,5.5,5.0,6.8,5.1,Yok,Aktif,Sedanter,Sağ,11,"['Bisiklet', 'Basketbol']",Bisiklet,Ağır,4.5,Takım,4.1,6.5,Akdeniz,Düşük,Orta,Güreş,47.8,46.0,48.5,48.5,46.2,67.3,43.8,47.8,49.5,42.4
35,Erkek,191,72.0,19.7,Mezomorf,22.9,11.7,Yüksek,4.5,5.6,4.7,4.1,3.5,5.4,3.8,Var,Sporcu,Aktif,Sol,11,"['Futbol', 'Yüzme']",Yüzme,Yok,4.4,Bireysel,5.9,6.9,İç Anadolu,Orta,Kolay,Bisiklet,57.6,48.7,61.9,43.8,66.3,63.3,56.2,68.2,42.9,61.1
17,Erkek,186,67.4,19.5,Ektomorf,15.4,11.9,Yüksek,5.8,2.1,6.8,6.1,5.2,4.7,4.6,Yok,Sedanter,Aktif,Sağ,7,"['Futbol', 'Voleybol', 'Basketbol', 'Yüzme']",Futbol,Orta,3.5,Bireysel,4.4,6.7,İç Anadolu,Düşük,Zor,Koşu/Atletizm,48.7,73.0,66.8,66.8,66.8,44.9,48.5,63.6,60.2,44.2
37,Kadın,160,47.6,18.6,Ektomorf,16.8,17.0,Orta,4.4,1.8,5.0,5.4,4.1,3.1,3.9,Yok,Sedanter,Aktif,Sağ,11,"['Jimnastik', 'Atletizm', 'Yüzme', 'Basketbol']",Jimnastik,Orta,7.4,Takım,1.4,6.7,Marmara,Düşük,Kolay,Koşu/Atletizm,48.2,66.5,66.4,66.4,58.5,36.9,41.5,55.3,53.5,36.5
43,Erkek,164,59.6,22.1,Mezomorf,22.0,13.8,Düşük,5.2,6.1,3.8,5.2,5.2,3.1,3.9,Yok,Sedanter,Aktif,Sağ,32,"['Futbol', 'Voleybol', 'Yüzme']",Yüzme,Yok,8.4,Karma,2.4,6.0,İç Anadolu,Düşük,Orta,Basketbol,67.6,46.6,70.3,52.1,64.3,60.4,62.7,62.2,44.7,61.8
46,Erkek,166,60.5,22.0,Mezomorf,32.5,20.3,Yüksek,4.2,7.6,5.3,5.4,4.4,3.8,4.2,Yok,Aktif,Aktif,Sağ,9,['Futbol'],Futbol,Orta,7.4,Bireysel,3.9,5.0,Doğu Anadolu,Düşük,Kolay,Yüzme,59.8,47.6,60.0,41.8,70.4,67.5,60.4,70.4,47.6,66.0
45,Kadın,158,57.0,22.8,Ektomorf,17.3,14.7,Düşük,5.4,2.0,5.5,6.9,3.2,5.3,5.9,Yok,Aktif,Sedanter,Sağ,32,"['Futbol', 'Bisiklet', 'Atletizm', 'Basketbol']",Atletizm,Hafif,5.7,Bireysel,2.9,5.0,İç Anadolu,Orta,Orta,Koşu/Atletizm,42.0,67.8,59.0,59.0,62.3,44.9,48.0,61.8,58.9,43.3
29,Erkek,170,56.6,19.6,Ektomorf,18.3,7.8,Orta,6.3,3.1,6.5,6.1,3.8,5.8,5.2,Yok,Aktif,Aktif,Sağ,11,"['Futbol', 'Güreş']",Futbol,Orta,7.6,Bireysel,4.0,6.6,Güneydoğu Anadolu,Orta,Zor,Koşu/Atletizm,46.5,72.8,63.2,63.2,66.1,48.2,48.0,67.6,61.5,47.5
25,Kadın,164,60.1,22.5,Mezomorf,22.5,12.5,Orta,5.2,5.1,6.2,6.1,4.7,3.6,4.6,Yok,Sedanter,Sedanter,Sağ,2,"['Yüzme', 'Basketbol']",Basketbol,Yok,4.0,Bireysel,3.3,7.0,Doğu Anadolu,Yüksek,Kolay,Yüzme,63.8,50.9,62.1,43.9,68.5,65.5,64.7,66.4,44.5,65.6
22,Kadın,162,48.1,18.3,Ektomorf,15.6,14.1,Orta,6.5,2.0,8.2,9.1,6.1,5.0,6.8,Yok,Sedanter,Sedanter,Sağ,2,"['Futbol', 'Basketbol']",Futbol,Yok,6.1,Karma,3.7,7.3,Karadeniz,Orta,Zor,Koşu/Atletizm,61.5,76.3,74.1,74.1,71.7,53.3,60.9,67.1,67.6,51.8
26,Erkek,173,62.0,20.7,Mezomorf,30.3,10.9,Yüksek,5.6,8.2,6.0,6.1,3.9,6.5,6.9,Yok,Sedanter,Aktif,Sağ,1,['Basketbol'],Basketbol,Yok,5.3,Bireysel,3.4,7.4,İç Anadolu,Düşük,Kolay,Bisiklet,62.7,52.1,62.5,44.3,74.8,76.0,68.2,79.3,54.0,75.8
29,Erkek,169,55.9,19.5,Mezomorf,16.3,12.1,Yüksek,5.5,4.7,5.5,5.0,4.5,3.7,6.1,Yok,Sedanter,Aktif,Sağ,18,"['Güreş', 'Atletizm', 'Boks']",Boks,Orta,4.0,Karma,5.5,5.8,Marmara,Düşük,Zor,Basketbol,70.0,51.3,70.2,52.0,65.1,61.6,65.6,64.2,41.6,66.9
32,Kadın,165,60.1,22.1,Endomorf,15.9,16.8,Orta,4.1,3.3,3.6,4.9,3.6,3.7,5.2,Yok,Sedanter,Aktif,Sağ,2,"['Futbol', 'Yüzme']",Yüzme,Hafif,4.9,Takım,3.7,5.9,Ege,Orta,Kolay,Güreş,44.2,44.3,47.3,47.3,40.2,55.5,41.5,34.7,37.3,38.5
30,Erkek,181,63.2,19.3,Ektomorf,16.5,9.7,Orta,6.5,3.7,7.2,6.6,5.8,6.9,5.7,Yok,Sedanter,Sedanter,Sağ,8,"['Tenis', 'Atletizm', 'Yüzme']",Yüzme,Yok,6.6,Takım,3.1,7.6,Marmara,Düşük,Orta,Basketbol,59.1,74.9,75.8,75.8,70.7,53.5,53.8,72.9,69.1,51.1
32,Erkek,164,48.8,18.1,Mezomorf,15.9,7.3,Düşük,4.4,4.1,4.8,6.4,4.9,4.5,5.6,Yok,Aktif,Sedanter,Sol,11,"['Atletizm', 'Jimnastik']",Jimnastik,Yok,5.6,Karma,4.1,5.9,Marmara,Orta,Orta,Basketbol,67.5,48.3,68.3,50.1,64.7,63.3,66.0,63.1,45.3,61.6
42,Kadın,179,70.7,22.2,Mezomorf,16.2,14.4,Yüksek,5.3,3.6,3.8,4.5,5.1,4.6,4.5,Yok,Aktif,Sedanter,Sol,22,"['Voleybol', 'Boks']",Boks,Orta,8.2,Takım,3.0,7.2,Marmara,Düşük,Orta,Basketbol,67.6,47.2,72.1,53.9,60.3,57.3,62.5,60.0,41.5,58.5
50,Kadın,166,55.7,20.2,Mezomorf,24.8,23.2,Orta,4.6,4.8,4.9,5.8,4.6,5.7,4.5,Var,Aktif,Aktif,Sağ,15,"['Futbol', 'Atletizm']",Futbol,Orta,6.9,Takım,4.2,7.6,Güneydoğu Anadolu,Düşük,Zor,Basketbol,67.5,48.2,68.4,50.2,65.3,65.8,62.7,67.6,47.1,61.5
38,Kadın,157,42.8,17.5,Mezomorf,15.5,11.7,Düşük,4.9,3.5,4.2,5.0,5.9,4.1,4.3,Var,Aktif,Aktif,Sağ,24,['Yüzme'],Yüzme,Orta,8.3,Bireysel,5.0,5.8,İç Anadolu,Orta,Orta,Tenis,61.8,48.0,62.9,44.7,59.1,57.8,63.8,59.6,42.7,58.0
33,Erkek,178,66.3,21.0,Mezomorf,23.4,20.1,Yüksek,5.2,7.5,5.8,4.9,5.4,5.2,5.5,Yok,Aktif,Sedanter,Sol,21,"['Basketbol', 'Yüzme', 'Voleybol']",Voleybol,Orta,5.8,Takım,3.5,4.3,Güneydoğu Anadolu,Orta,Orta,Bisiklet,71.6,51.1,72.4,54.2,71.6,69.8,65.5,74.4,50.9,70.9
43,Kadın,170,71.3,24.7,Mezomorf,20.9,14.6,Yüksek,4.8,4.7,4.0,5.3,4.6,4.2,4.7,Yok,Sedanter,Aktif,Sol,32,"['Yüzme', 'Basketbol']",Yüzme,Ağır,8.9,Bireysel,2.4,5.3,Güneydoğu Anadolu,Düşük,Zor,Yüzme,58.9,45.5,61.9,43.8,63.0,60.4,62.5,62.0,43.3,60.4
38,Kadın,164,50.5,18.8,Ektomorf,12.3,19.2,Yüksek,5.4,2.2,5.6,5.5,3.5,3.2,4.5,Var,Sedanter,Sedanter,Sağ,24,"['Futbol', 'Basketbol', 'Atletizm', 'Güreş']",Basketbol,Ağır,7.2,Bireysel,2.8,6.4,Ege,Yüksek,Orta,Koşu/Atletizm,42.7,69.5,60.3,60.3,61.0,39.1,43.5,57.8,53.5,41.3
12,Kadın,165,50.5,18.5,Ektomorf,18.7,14.9,Orta,4.6,2.4,7.3,6.9,4.6,5.2,4.3,Yok,Sedanter,Sedanter,Sol,1,['Futbol'],Futbol,Yok,2.2,Karma,3.9,7.4,Marmara,Yüksek,Kolay,Koşu/Atletizm,53.6,71.3,68.2,68.2,67.2,48.7,46.2,66.4,62.0,42.9
50,Erkek,184,78.5,23.1,Ektomorf,32.3,16.5,Orta,5.2,5.0,6.4,4.8,5.2,5.9,5.7,Yok,Sedanter,Aktif,Sağ,35,['Bisiklet'],Bisiklet,Yok,6.0,Bireysel,5.3,7.0,Karadeniz,Düşük,Orta,Bisiklet,46.9,69.6,65.5,65.5,68.7,49.3,47.1,71.8,65.3,49.6
29,Erkek,171,68.5,23.5,Mezomorf,21.9,10.2,Düşük,5.9,6.4,6.3,5.3,5.8,4.1,6.5,Yok,Aktif,Sedanter,Sağ,15,['Güreş'],Güreş,Hafif,5.6,Takım,3.1,7.7,Marmara,Düşük,Orta,Futbol,74.5,52.2,73.5,55.3,70.4,67.5,70.0,70.7,48.4,72.9
44,Erkek,181,84.2,25.7,Endomorf,33.2,26.3,Yüksek,3.0,6.4,3.6,4.3,4.3,5.0,4.3,Var,Aktif,Aktif,Sağ,7,"['Futbol', 'Basketbol', 'Güreş']",Basketbol,Orta,8.6,Karma,4.0,5.9,Marmara,Orta,Orta,Güreş,43.5,41.3,48.5,48.5,46.7,62.4,38.0,44.4,45.5,40.5
49,Kadın,156,44.9,18.3,Ektomorf,11.7,11.8,Orta,4.7,1.7,6.5,6.4,3.7,5.2,3.9,Yok,Sedanter,Sporcu,Sağ,39,"['Tenis', 'Voleybol']",Voleybol,Yok,7.2,Takım,2.6,7.4,Güneydoğu Anadolu,Düşük,Kolay,Koşu/Atletizm,50.7,69.6,65.7,65.7,62.4,45.1,43.1,63.1,58.2,39.6
13,Kadın,155,40.0,16.7,Mezomorf,17.1,17.2,Yüksek,5.6,3.4,4.1,5.5,3.7,4.9,4.6,Yok,Sedanter,Sedanter,Sağ,1,['Jimnastik'],Jimnastik,Yok,5.3,Bireysel,3.2,7.5,Doğu Anadolu,Düşük,Orta,Tenis,58.9,49.2,59.9,41.8,59.4,59.8,62.5,60.9,40.9,59.5
42,Kadın,167,51.1,18.4,Ektomorf,17.2,16.6,Yüksek,5.8,1.1,5.4,6.3,3.3,4.7,3.3,Var,Sporcu,Aktif,Sağ,21,"['Basketbol', 'Futbol', 'Jimnastik']",Futbol,Hafif,5.5,Bireysel,5.0,5.3,Marmara,Düşük,Orta,Koşu/Atletizm,42.7,70.2,61.0,61.0,60.5,40.9,43.1,58.2,55.3,37.5
16,Erkek,177,57.6,18.3,Ektomorf,18.6,14.3,Düşük,5.8,3.6,6.6,5.2,3.6,4.5,3.3,Var,Aktif,Aktif,Sağ,3,['Jimnastik'],Jimnastik,Yok,3.6,Karma,3.2,7.4,Akdeniz,Orta,Orta,Koşu/Atletizm,52.7,72.8,70.1,70.1,66.4,45.3,41.6,66.0,58.0,44.2
13,Kadın,166,41.1,15.0,Ektomorf,17.4,15.5,Yüksek,5.0,1.4,6.8,7.2,3.5,3.8,3.2,Yok,Sedanter,Aktif,Sağ,3,"['Voleybol', 'Futbol']",Voleybol,Yok,5.4,Takım,5.3,6.1,İç Anadolu,Orta,Orta,Koşu/Atletizm,51.5,72.4,67.1,67.1,65.1,44.0,43.5,60.0,56.2,38.9
14,Kadın,158,40.0,16.1,Ektomorf,15.5,8.0,Düşük,6.6,2.9,7.1,7.0,4.3,5.7,4.7,Yok,Sedanter,Aktif,Sağ,0,['Hiçbiri'],Hiçbiri,Yok,4.8,Bireysel,3.4,6.9,İç Anadolu,Orta,Orta,Koşu/Atletizm,49.1,75.0,63.2,63.2,67.0,50.4,50.2,68.2,63.5,47.8
20,Kadın,168,47.9,16.9,Ektomorf,15.1,16.4,Yüksek,7.6,2.2,7.2,9.3,7.7,5.0,7.3,Yok,Aktif,Aktif,Sağ,10,"['Futbol', 'Voleybol', 'Jimnastik', 'Boks']",Futbol,Hafif,4.1,Karma,3.2,4.2,Marmara,Orta,Kolay,Basketbol,64.5,77.2,79.7,79.7,71.3,52.2,67.1,65.3,71.3,53.3
22,Erkek,182,60.2,18.2,Mezomorf,18.7,13.7,Orta,5.3,5.5,5.9,5.2,4.6,6.8,4.4,Var,Sporcu,Sedanter,Sağ,7,"['Tenis', 'Futbol', 'Atletizm']",Tenis,Yok,6.2,Takım,6.3,5.1,Marmara,Orta,Orta,Bisiklet,70.5,52.7,71.6,53.4,69.2,69.8,62.7,73.8,49.3,65.6
41,Kadın,164,62.0,23.1,Endomorf,22.4,22.5,Orta,3.9,3.9,3.8,5.1,4.4,5.5,3.3,Var,Aktif,Aktif,Sağ,20,['Bisiklet'],Bisiklet,Orta,5.1,Takım,3.2,6.5,Ege,Orta,Orta,Güreş,45.6,43.9,48.3,48.3,41.9,60.5,39.5,40.4,43.5,36.2
39,Erkek,159,59.6,23.6,Mezomorf,21.7,11.1,Orta,4.5,6.1,3.7,5.3,3.3,4.2,4.8,Yok,Sporcu,Aktif,Sağ,26,"['Jimnastik', 'Bisiklet', 'Güreş', 'Basketbol']",Bisiklet,Orta,7.2,Karma,2.1,6.0,Marmara,Orta,Orta,Basketbol,62.7,44.5,65.0,46.8,63.7,62.4,59.8,64.4,43.5,62.0
44,Erkek,165,59.3,21.7,Endomorf,21.9,17.5,Düşük,2.9,4.9,4.7,4.5,5.2,5.4,4.7,Yok,Sedanter,Sporcu,Sağ,30,"['Futbol', 'Basketbol', 'Bisiklet']",Bisiklet,Yok,7.8,Takım,3.6,4.2,İç Anadolu,Orta,Kolay,Güreş,46.9,44.2,48.1,48.1,44.4,62.7,40.5,44.4,45.5,40.4
28,Erkek,172,65.2,22.0,Mezomorf,32.8,15.3,Düşük,5.4,8.6,5.3,5.2,6.8,4.6,6.7,Yok,Sedanter,Sporcu,Sağ,6,['Futbol'],Futbol,Orta,6.9,Karma,6.3,7.5,Karadeniz,Orta,Zor,Basketbol,73.6,50.0,74.5,56.4,72.5,70.4,71.1,74.4,54.9,74.5
19,Erkek,165,47.3,17.4,Ektomorf,20.4,12.5,Düşük,7.4,4.9,7.7,7.4,7.2,5.5,5.9,Yok,Sedanter,Sedanter,Sağ,9,"['Jimnastik', 'Futbol', 'Atletizm', 'Basketbol']",Atletizm,Hafif,5.3,Takım,5.5,5.7,Marmara,Yüksek,Orta,Basketbol,64.2,77.5,78.1,78.1,73.3,55.5,59.8,73.6,72.7,56.2
33,Erkek,176,56.5,18.3,Ektomorf,22.3,6.5,Düşük,5.6,4.1,6.4,5.8,6.9,5.4,7.0,Yok,Sedanter,Aktif,Sağ,18,"['Futbol', 'Bisiklet']",Futbol,Hafif,6.2,Karma,3.5,4.8,Doğu Anadolu,Yüksek,Orta,Basketbol,58.0,72.1,75.6,75.6,67.9,48.5,55.1,68.7,67.6,51.1
29,Kadın,156,46.6,19.1,Mezomorf,12.6,8.9,Yüksek,5.8,3.2,4.5,5.6,3.8,6.4,5.4,Yok,Sedanter,Aktif,Sağ,14,"['Bisiklet', 'Basketbol', 'Futbol', 'Voleybol']",Bisiklet,Yok,4.8,Karma,2.5,7.6,İç Anadolu,Düşük,Orta,Basketbol,67.5,49.6,67.9,49.7,60.1,63.1,64.7,64.7,43.6,61.6
12,Erkek,179,56.3,17.5,Ektomorf,17.4,14.5,Yüksek,6.2,2.1,6.3,5.0,5.2,4.3,3.7,Yok,Sedanter,Aktif,Sağ,2,"['Voleybol', 'Basketbol']",Basketbol,Yok,2.4,Bireysel,2.8,4.8,İç Anadolu,Düşük,Orta,Koşu/Atletizm,48.5,73.4,66.7,66.7,63.0,41.3,45.6,61.6,57.5,42.4
49,Kadın,174,63.8,21.1,Ektomorf,17.8,19.5,Düşük,6.0,1.2,5.3,6.2,3.2,5.9,6.0,Yok,Sedanter,Aktif,Sağ,28,"['Yüzme', 'Voleybol', 'Boks']",Yüzme,Orta,5.8,Bireysel,5.3,6.2,Doğu Anadolu,Orta,Orta,Koşu/Atletizm,42.7,69.7,62.1,62.1,61.2,42.9,48.0,60.9,57.3,42.7
37,Erkek,176,79.8,25.8,Endomorf,29.9,20.0,Düşük,3.0,6.5,2.9,3.9,4.3,5.1,3.1,Yok,Sedanter,Aktif,Sağ,24,['Futbol'],Futbol,Hafif,5.5,Takım,3.9,6.9,Karadeniz,Orta,Orta,Güreş,42.2,40.0,47.9,47.9,44.3,60.7,35.1,43.3,45.1,37.3
27,Kadın,155,49.5,20.6,Ektomorf,23.4,14.1,Orta,6.5,2.6,6.6,8.5,3.7,5.8,5.6,Var,Aktif,Sedanter,Sağ,2,['Futbol'],Futbol,Hafif,6.8,Takım,5.2,6.1,İç Anadolu,Orta,Kolay,Koşu/Atletizm,54.2,72.4,68.8,68.8,67.9,51.8,53.3,66.7,64.7,47.8
18,Erkek,161,48.7,18.7,Ektomorf,17.1,5.9,Düşük,7.4,3.4,8.8,7.7,5.8,6.6,4.6,Var,Sedanter,Aktif,Sol,0,['Hiçbiri'],Hiçbiri,Yok,4.0,Karma,6.9,7.2,Karadeniz,Düşük,Orta,Koşu/Atletizm,63.6,78.8,75.0,75.0,72.7,57.3,55.5,75.1,70.0,53.1
38,Erkek,163,54.5,20.4,Ektomorf,22.1,14.8,Orta,5.3,2.9,5.7,5.3,3.2,5.7,4.3,Var,Sedanter,Sporcu,Sağ,0,['Hiçbiri'],Hiçbiri,Yok,5.8,Bireysel,5.2,7.4,Karadeniz,Orta,Orta,Koşu/Atletizm,42.2,68.9,59.5,59.5,62.0,44.7,42.0,65.1,58.4,42.2
42,Erkek,177,64.7,20.7,Mezomorf,24.4,16.6,Düşük,4.7,5.8,4.9,5.2,3.1,5.2,4.3,Yok,Aktif,Sporcu,Sağ,18,"['Voleybol', 'Basketbol', 'Güreş']",Voleybol,Hafif,7.8,Takım,3.5,6.6,Marmara,Orta,Orta,Bisiklet,64.9,48.6,67.2,49.0,67.3,65.6,58.7,68.7,44.2,63.1
15,Erkek,182,66.7,20.1,Mezomorf,33.4,12.7,Düşük,4.7,8.6,4.3,4.2,6.0,4.4,4.4,Yok,Aktif,Aktif,Sağ,0,['Hiçbiri'],Hiçbiri,Yok,5.7,Bireysel,5.7,6.7,İç Anadolu,Düşük,Orta,Bisiklet,61.8,47.9,65.8,47.6,70.1,66.4,62.4,71.8,51.3,67.3
42,Kadın,171,66.7,22.8,Endomorf,22.7,23.0,Düşük,2.8,4.4,3.2,3.6,3.8,4.0,4.6,Var,Aktif,Sporcu,Sol,5,"['Futbol', 'Voleybol']",Futbol,Yok,6.0,Takım,4.8,6.4,Marmara,Orta,Kolay,Güreş,41.5,41.1,46.1,46.1,39.9,54.9,36.0,36.9,37.8,36.4
28,Kadın,165,53.0,19.5,Ektomorf,16.3,12.5,Yüksek,7.0,1.9,6.9,8.0,3.8,5.7,4.1,Yok,Aktif,Sedanter,Sağ,5,"['Basketbol', 'Voleybol']",Basketbol,Hafif,3.9,Karma,6.2,5.2,İç Anadolu,Yüksek,Zor,Koşu/Atletizm,55.8,74.6,71.2,71.2,67.5,50.0,50.7,65.6,62.5,45.3
16,Kadın,155,40.0,16.6,Ektomorf,16.5,7.5,Orta,5.2,1.9,7.3,7.1,4.8,4.5,5.0,Yok,Sedanter,Sedanter,Sağ,4,"['Tenis', 'Futbol', 'Güreş']",Futbol,Yok,6.2,Takım,5.3,7.3,Ege,Düşük,Orta,Koşu/Atletizm,55.1,72.4,68.5,68.5,65.4,46.9,49.3,63.8,60.5,44.4
12,Erkek,178,60.2,19.0,Mezomorf,16.0,14.6,Yüksek,5.5,4.3,4.4,5.0,3.5,5.6,3.5,Var,Aktif,Aktif,Sağ,1,['Futbol'],Futbol,Hafif,2.5,Karma,2.5,5.3,Marmara,Düşük,Kolay,Basketbol,66.2,49.9,69.5,51.3,63.5,62.4,59.1,65.1,42.5,59.5
21,Erkek,172,53.6,18.1,Ektomorf,18.7,12.3,Orta,6.9,4.6,7.0,6.1,5.1,4.5,5.9,Yok,Sedanter,Sedanter,Sağ,4,"['Basketbol', 'Bisiklet', 'Güreş']",Güreş,Hafif,3.2,Bireysel,3.9,7.0,İç Anadolu,Düşük,Orta,Koşu/Atletizm,50.9,75.4,66.9,66.9,70.0,49.5,52.7,69.1,64.2,53.5
28,Erkek,166,47.8,17.3,Ektomorf,21.5,8.0,Düşük,6.3,3.0,8.0,6.0,4.7,7.0,4.5,Yok,Aktif,Sedanter,Sağ,8,"['Voleybol', 'Futbol', 'Jimnastik', 'Yüzme']",Yüzme,Yok,5.0,Bireysel,6.6,6.2,Karadeniz,Düşük,Orta,Koşu/Atletizm,50.9,76.1,64.4,64.4,68.0,52.7,48.2,73.3,64.9,48.7
